begin date,end date,mon,tue,wed,thu,fri,sat,sun
10/18/21,10/24/21,8:30AM - 6:15PM,8:30AM - 6:15PM,8:30AM - 6:15PM,9:00AM - 6:00PM,8:30AM - 4:00PM,CLOSED,CLOSED
10/25/21,10/31/21,8:30AM - 6:15PM,8:30AM - 6:15PM,8:30AM - 6:15PM,8:30AM - 6:00PM,8:30AM - 4:00PM,9:00AM - 2:00PM,CLOSED
11/1/21,11/7/21,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
11/8/21,11/15/21,8:30AM - 6:15PM,8:30AM - 6:15PM,8:30AM - 6:15PM,8:30AM - 6:00PM,9:00AM - 2:00PM,9:00AM - 2:00PM,CLOSED
11/16/21,11/22/21,8:30AM - 6:15PM,8:30AM - 6:15PM,8:30AM - 6:15PM,8:30AM - 6:00PM,CLOSED,CLOSED,CLOSED
